# Strings exported from IDA
# Format: address | length | type | string
#================================================================================

0x14000b708 | 19 | ASCII | ServiceColumnWidth
0x14000b720 | 22 | ASCII | EnumeratorColumnWidth
0x14000b738 | 17 | ASCII | ClassColumnWidth
0x14000b750 | 20 | ASCII | LastUsedColumnWidth
0x14000b768 | 22 | ASCII | DeviceNameColumnWidth
0x14000b780 | 11 | ASCII | ListDevsSw
0x14000b790 | 12 | ASCII | ListDevsSwd
0x14000b7a0 | 13 | ASCII | ListDevsRoot
0x14000b7b0 | 13 | ASCII | ShowDeviceId
0x14000b7c0 | 12 | ASCII | ShowComPort
0x14000b7d0 | 12 | ASCII | ShowService
0x14000b7e0 | 15 | ASCII | ShowEnumerator
0x14000b7f0 | 8 | ASCII | SortDir
0x14000b7f8 | 8 | ASCII | SortCol
0x14000b808 | 13 | ASCII | VisualStyles
0x14000b820 | 16 | ASCII | WindowPlacement
0x14000b830 | 9 | ASCII | Settings
0x14000b984 | 6 | ASCII | Error
0x14000b990 | 34 | ASCII | Error %s when uninstalling device
0x14000ba88 | 29 | ASCII | /MachineName "" /DeviceID %S
0x14000baa8 | 25 | ASCII | DeviceProperties_RunDLLA
0x14000bdb0 | 13 | ASCII | ColumnWidths
0x14000be48 | 17 | ASCII | ShowVerInCaption
0x14000be60 | 44 | ASCII | Certificate check fail, EXE was manipulated
0x14000be90 | 14 | ASCII | DeviceCleanup
0x14000beb0 | 15 | ASCII | LoadIconMetric
0x14000bec0 | 13 | ASCII | Comctl32.dll
0x14000bf34 | 6 | ASCII | ?W;)f
0x14000bf4c | 6 | ASCII | ?W;)g
0x14000bf58 | 13 | ASCII | powrprof.dll
0x14000bf68 | 8 | ASCII | spp.dll
0x14000bf70 | 11 | ASCII | vssapi.dll
0x14000bf80 | 13 | ASCII | vsstrace.dll
0x14000bf90 | 10 | ASCII | umpdc.dll
0x14000bfa0 | 12 | ASCII | clbcatq.dll
0x14000bfb0 | 13 | ASCII | srclient.dll
0x14000bfc0 | 18 | ASCII | wbem\framedyn.dll
0x14000bfd8 | 13 | ASCII | xpsp2res.dll
0x14000bfe8 | 32 | ASCII | \r\nAdmin privileges are required
0x14000c008 | 39 | ASCII | Error %s creating system restore point
0x14000c030 | 42 | ASCII | System Restore Point successfully created
0x14000c128 | 19 | ASCII | SRSetRestorePointW
0x14000c140 | 32 | ASCII | System Restore is not available
0x14000c180 | 35 | ASCII | This Windows has no System Restore
0x14000c1a8 | 14 | ASCII | RtlGetVersion
0x14000c1b8 | 10 | ASCII | ntdll.dll
0x14000c208 | 15 | ASCII | VerQueryValueW
